id,name,category,gender,ranking,points,nationality,birthplace,birthdate,age,hand,side,height
30,Cristobal Molina,men,M,380.0,87.0,CL,Santiago,1997-07-08,28.0,,backhand,180.0
31,Christian Medina Murphy,men,M,118.0,483.0,GB,Kingstom,1998-08-26,27.0,,backhand,187.0
32,Alberto Garcia Jimenez,men,M,108.0,549.0,ES,Albacete,2002-04-14,23.0,,drive,170.0
33,Ivan Ramirez,men,M,188.0,277.0,ES,Madrid,2001-11-14,24.0,right,backhand,175.0
34,Diego Arredondo Garcia,men,M,136.0,401.0,MX,Metepec,2007-09-02,18.0,,drive,163.0
35,Jose Angel Montoya,men,M,410.0,76.0,MX,Toluca,2003-02-17,22.0,,drive,170.0
36,Juan Pablo Castillo,men,M,351.0,97.0,MX,Puebla,2003-07-21,22.0,,drive,171.0
37,Nicolas Crosio,men,M,230.0,210.0,AR,Buenos aires,1995-09-19,30.0,,backhand,187.0
38,Ivo Andenmatten Gudiño,men,M,297.0,133.0,AR,Córdoba,2003-02-20,22.0,,backhand,175.0
39,Manuel Gayone,men,M,145.0,382.0,AR,Mar delPlata,2003-05-11,22.0,,backhand,180.0
40,Axel William Guevara,men,M,164.0,331.0,AR,General Pico,1996-10-20,29.0,,drive,
41,Jorge Jimenez,men,M,590.0,40.0,MX,Cohaulila de Zaragoza,2006-11-07,19.0,,backhand,
42,Moises Rafael Rivero,men,M,590.0,40.0,MX,,1993-10-08,32.0,,drive,
43,Jose Gabriel Jimenez Jimenez,men,M,458.0,63.0,ES,,2006-09-24,19.0,,,
44,Emmanuel Riesgo Méndez,men,M,764.0,25.0,ES,,2006-04-20,19.0,,,
45,Luis Enrique Barrientos Garcia,men,M,626.0,36.0,MX,Puebla,1993-06-04,32.0,,backhand,185.0
46,Maximiliano Jael Cejas,men,M,1028.0,14.0,AR,Quilmes,1990-01-26,36.0,,drive,179.0
47,Alonso Rodriguez Martinez,men,M,72.0,964.0,ES,Torres de la Alameda,2003-04-03,22.0,right,backhand,185.0
48,Juan Ignacio Rubini,men,M,53.0,1184.0,AR,Chacabuco,2006-09-03,19.0,left,drive,185.0
49,Manuel Castaño Salguero,men,M,82.0,894.0,ES,Madrid,2008-10-03,17.0,,backhand,186.0
50,Nicolas Suescun,men,M,129.0,435.0,IT,Rio Tercero,1985-10-29,40.0,right,drive,176.0
51,Mateo Alvarez,men,M,287.0,138.0,AR,,2007-10-16,18.0,,,
52,Vinny Nahuel Di Francesco,men,M,228.0,214.0,US,New York,2006-12-23,19.0,,backhand,188.0
53,Simon Charaf Jones,men,M,700.0,29.0,MX,,1998-01-28,28.0,,,
54,Ulises Martinez Avila,men,M,540.0,48.0,MX,,2002-09-25,23.0,,,
55,Pablo Molina Tofanelli,men,M,198.0,257.0,AR,La Rioja,1997-12-30,28.0,,backhand,180.0
56,Cristobal Martinez,men,M,211.0,240.0,CL,Ñuñoa,1997-04-08,28.0,,drive,175.0
57,Pier Giulio Farabbi,men,M,256.0,177.0,IT,Roma,2005-02-09,20.0,,backhand,190.0
58,Victor Ortega Garcia,men,M,248.0,185.0,ES,Valladolid,2007-04-17,18.0,,drive,164.0
59,Raul Rosas,men,M,572.0,43.0,MX,,1989-05-04,36.0,,,
60,Mauricio Garcia Villalobos,men,M,482.0,59.0,MX,,2000-08-04,25.0,,,
61,Alejandro Calvo Perez,men,M,168.0,324.0,ES,Jaen,2007-10-08,18.0,,backhand,183.0
62,Albert Trillas Garcia,men,M,155.0,365.0,ES,Barcelona,2005-02-18,20.0,,drive,188.0
63,Miguel Lamperti,men,M,88.0,818.0,AR,Bahía Blanca,1978-11-11,47.0,right,backhand,180.0
64,Agustin Torre,men,M,52.0,1212.0,AR,Olavarría,1994-10-18,31.0,right,backhand,182.0
65,Arturo Coello,men,M,1.0,19800.0,ES,Valladolid,2002-03-08,23.0,left,drive,190.0
66,Agustin Tapia,men,M,1.0,19800.0,AR,Catamarca,1999-07-24,26.0,right,backhand,179.0
68,Victor Ruiz,men,M,34.0,1794.0,ES,Cartagena,1989-07-09,36.0,right,backhand,179.0
69,Francisco Gil,men,M,45.0,1398.0,ES,Córdoba,1996-04-27,29.0,right,drive,185.0
70,Javier Barahona,men,M,24.0,2475.0,ES,Madrid,1998-09-17,27.0,left,drive,179.0
71,Javier Garcia,men,M,23.0,2500.0,ES,Murcia,2000-12-09,25.0,right,backhand,177.0
72,Lucas Campagnolo,men,M,28.0,2280.0,BR,Alegrete,1995-06-13,30.0,right,drive,179.0
73,Maxi Sanchez,men,M,51.0,1293.0,AR,Villa Mercedes,1986-12-15,39.0,right,backhand,183.0
74,Ignacio Piotto,men,M,55.0,1169.0,AR,Concaran San Luis,2002-03-06,23.0,right,backhand,176.0
75,Mario Del Castillo,men,M,69.0,980.0,ES,Sevilla,1997-12-20,28.0,right,backhand,174.0
76,Lucas Bergamini,men,M,13.0,4550.0,BR,Bento Gonçalves,1997-08-18,28.0,right,drive,165.0
77,Francisco Navarro,men,M,9.0,6115.0,ES,Sevilla,1989-02-10,36.0,right,backhand,181.0
78,Momo Gonzalez,men,M,15.0,4350.0,ES,Antequera,1997-02-21,28.0,right,backhand,180.0
79,Jon Sanz,men,M,11.0,5125.0,ES,Pamplona,2000-09-25,25.0,left,drive,175.0
80,Nicholas Agritelley,men,M,416.0,75.0,US,,1995-03-03,30.0,,,
81,Jairo Bautista,men,M,30.0,2201.0,ES,Málaga,2001-07-11,24.0,right,backhand,190.0
82,Francisco Guerrero,men,M,14.0,4410.0,ES,Málaga,2003-07-30,22.0,right,drive,176.0
83,Pablo Cardona,men,M,25.0,2400.0,ES,Mérida,2004-11-03,21.0,left,drive,188.0
84,Leo Augsburger,men,M,10.0,5155.0,AR,Posadas Misiones,2004-08-11,21.0,right,backhand,190.0
85,Jaime Munoz,men,M,166.0,328.0,ES,Madrid,1999-06-14,26.0,right,drive,183.0
86,Nacho Vilariño,men,M,,,ES,,,,right,,
87,Franco Stupaczuk,men,M,5.0,7905.0,AR,Chaco,1996-03-25,29.0,right,backhand,180.0
88,Juan Lebron,men,M,6.0,7845.0,ES,Puerto de Santa María,1995-01-31,31.0,right,drive,184.0
89,Miguel Yanguas,men,M,7.0,6322.0,ES,Málaga,2002-03-18,23.0,right,drive,189.0
90,Jorge Nieto,men,M,7.0,6322.0,ES,Madrid,1998-12-18,27.0,right,backhand,175.0
91,Jose Rico,men,M,102.0,578.0,ES,Valencia,1995-09-21,30.0,right,drive,176.0
92,Agustin Gutierrez,men,M,86.0,839.0,AR,San Luis,1998-01-07,28.0,right,backhand,175.0
93,Tino Libaak,men,M,44.0,1447.0,AR,Villa Mercedes,2005-08-09,20.0,right,drive,184.0
94,Juan Tello,men,M,17.0,3330.0,AR,Córdoba,1995-02-01,31.0,right,backhand,185.0
95,Javier Leal,men,M,16.0,3665.0,ES,Puerto de Santa María,2003-07-28,22.0,right,backhand,175.0
96,Sanyo Gutierrez,men,M,31.0,2148.0,AR,San Luis,1984-06-15,41.0,right,drive,177.0
97,Gonzalo Rubio,men,M,42.0,1461.0,ES,Sevilla,1991-02-22,34.0,left,drive,183.0
98,Pablo Lijo,men,M,46.0,1390.0,ES,Sta. Uxía de Ribeira,1991-07-06,34.0,right,backhand,185.0
99,Miguel Benitez,men,M,153.0,368.0,ES,Puerto de Santa María,1996-08-18,29.0,right,backhand,190.0
100,Javier Martinez,men,M,68.0,982.0,ES,Valladolid,1996-11-18,29.0,right,backhand,173.0
101,Edu Alonso,men,M,18.0,2955.0,ES,Valencia,2001-01-08,25.0,right,drive,180.0
102,Alejandro Arroyo,men,M,26.0,2354.0,ES,Valencia,2001-10-25,24.0,right,backhand,188.0
103,Martin Di Nenno,men,M,12.0,5110.0,AR,Ezeiza,1997-03-18,28.0,right,drive,175.0
104,Javier Garrido,men,M,22.0,2528.0,ES,Córdoba,2000-10-26,25.0,right,backhand,184.0
105,Jesus Moya,men,M,93.0,728.0,ES,Melilla,2000-04-28,25.0,right,backhand,181.0
106,Javier Rico,men,M,114.0,495.0,ES,Valencia,1998-05-15,27.0,left,drive,167.0
107,Federico Mouriño,men,M,79.0,928.0,AR,San Martín de los Andes,1999-10-05,26.0,right,drive,175.0
108,Antonio Fernandez,men,M,62.0,1042.0,ES,Badajoz,1992-08-16,33.0,right,backhand,180.0
109,Javier Ruiz,men,M,38.0,1518.0,ES,Granada,1987-06-17,38.0,right,backhand,183.0
110,Jose Antonio Diestro,men,M,33.0,1935.0,ES,Badajoz,1989-09-01,36.0,left,drive,183.0
111,Alex Ruiz,men,M,21.0,2570.0,ES,Málaga,1994-06-12,31.0,left,drive,187.0
112,Alex Chozas,men,M,29.0,2252.0,AR,Hurlingham,2003-07-18,22.0,right,backhand,186.0
113,Alvaro Cepero,men,M,50.0,1345.0,ES,San Fernando,1991-04-26,34.0,right,drive,167.0
114,Federico Chingotto,men,M,3.0,17320.0,AR,Buenos aires,1997-04-13,28.0,right,drive,170.0
115,Alejandro Galan,men,M,3.0,17320.0,ES,Madrid,1996-05-15,29.0,right,backhand,186.0
116,Roberto Belmont Pastor,men,M,111.0,506.0,ES,Madrid,2003-04-27,22.0,,backhand,173.0
117,Victor Tur Checa,men,M,148.0,375.0,ES,Ibiza,2004-02-21,21.0,,backhand,177.0
118,Youssef Hossam,men,M,145.0,382.0,EG,Giza,1998-06-03,27.0,,backhand,
119,Julian Lacamoire,men,M,143.0,384.0,AR,Lanus,2004-04-04,21.0,,drive,176.0
120,Julien Seurin,men,M,168.0,324.0,FR,Né à Melun,1997-05-12,28.0,,drive,185.0
121,Philemon Raichman,men,M,190.0,274.0,FR,París,2000-05-11,25.0,,drive,185.0
122,Clement Geens,men,M,92.0,744.0,BE,Uccle,1996-03-11,29.0,right,backhand,180.0
123,Alejandro Jerez Carnero,men,M,95.0,696.0,ES,Málaga,2005-10-05,20.0,left,drive,186.0
124,Sten Richters,men,M,123.0,453.0,NL,Zoetermeer,1999-04-16,26.0,,backhand,186.0
125,Bram Meijer,men,M,273.0,148.0,NL,Almelo - Hol,1994-10-13,31.0,,drive,195.0
126,Manuel Aragon Herrera,men,M,117.0,485.0,ES,Campillos,2006-07-05,19.0,,backhand,188.0
127,Facundo Dehnike,men,M,171.0,323.0,PY,Hohenau,2008-08-21,17.0,right,drive,164.0
128,Nacho Moragues Moltò,men,M,,,ES,,,,,,
129,Marc Sintes Villalonga,men,M,64.0,1003.0,ES,Mahón,2006-04-17,19.0,right,drive,180.0
130,Gustavo Nunes,men,M,138.0,400.0,PT,Aveiro,2006-10-28,19.0,right,backhand,191.0
131,Miguel Angel Solbes,men,M,151.0,372.0,ES,Villajoyosa,1988-03-16,37.0,left,drive,186.0
132,Adrian Naranjo Martinez,men,M,172.0,322.0,ES,Valencia,2006-10-31,19.0,,drive,180.0
133,Christian Fuster,men,M,147.0,379.0,ES,Villajoyosa,1989-08-25,36.0,,backhand,190.0
134,Emiliano Martin Iriart,men,M,344.0,100.0,IT,Lobería,1994-09-20,31.0,,backhand,186.0
135,Mauro Agustin Salandro,men,M,344.0,100.0,IT,San Miguel de Tucumán,1995-09-04,30.0,,drive,167.0
136,Teo Gamondi,men,M,394.0,83.0,IT,Olavarria,2006-01-24,20.0,right,backhand,183.0
137,Joel Olivera Palos,men,M,193.0,267.0,ES,Barcelona,2004-10-07,21.0,,drive,186.0
138,Jaume Romera Barcelo,men,M,98.0,655.0,ES,Palma de Mallorca,2005-06-17,20.0,,backhand,184.0
139,Simone Cremona,men,M,94.0,720.0,IT,Codogno,1987-09-14,38.0,,drive,181.0
140,Simon Vasquez,men,M,96.0,694.0,SE,Angelholm,1992-12-21,33.0,,drive,175.0
141,Adam Axelsson,men,M,89.0,810.0,SE,Smalandsstenar,2005-08-27,20.0,right,backhand,200.0
142,Jaime Fermosell Delgado,men,M,666.0,32.0,ES,Madrid,1997-12-06,28.0,,backhand,178.0
143,Jose Pablo Padilla,men,M,224.0,220.0,MX,Ciudad de Mexico,2005-06-17,20.0,,backhand,185.0
144,Pablo Reina Ambel,men,M,222.0,222.0,ES,Granada,2006-06-09,19.0,,backhand,187.0
145,Antonio Varo Ramos,men,M,203.0,249.0,ES,Marbella,2003-05-23,22.0,,backhand,180.0
146,Andres Fdz Lancha,men,M,58.0,1104.0,ES,Madrid,2005-03-02,20.0,right,backhand,192.0
147,Rodrigo Coello Manso,men,M,116.0,487.0,ES,Valladolid,2004-05-05,21.0,,drive,181.0
148,Francisco Cabeza Teres,men,M,39.0,1507.0,ES,Marbella,2007-12-05,18.0,right,drive,180.0
149,Diego Garcia Garcia,men,M,47.0,1379.0,ES,La Linea de la Concepción,2006-04-02,19.0,right,backhand,190.0
150,Aris Patiniotis,men,M,71.0,968.0,IT,Mar del Plata,1991-11-12,34.0,right,drive,175.0
151,David Gala,men,M,35.0,1736.0,ES,Madrid,2006-02-06,20.0,right,backhand,182.0
152,Luciano Capra,men,M,99.0,596.0,AR,Quilmes,1993-09-16,32.0,left,drive,184.0
153,Juanlu Esbri,men,M,27.0,2292.0,ES,Castellón de la Plana,2001-01-22,25.0,right,backhand,182.0
154,Luis Hernandez,men,M,57.0,1138.0,ES,Cuenca,1999-08-03,26.0,right,backhand,176.0
155,Inigo Jofre,men,M,32.0,1941.0,AE,Santa Cruz de Tenerife,2000-08-13,25.0,right,backhand,185.0
156,Ramiro Valenzuela,men,M,85.0,848.0,AR,Capital Federal,2005-01-23,21.0,right,backhand,180.0
157,Pol Hernandez,men,M,40.0,1506.0,ES,Granollers,2004-07-14,21.0,right,drive,172.0
158,Anton Sans,men,M,78.0,931.0,ES,Tarragona,1995-09-29,30.0,right,drive,188.0
159,Marc Quilez,men,M,80.0,911.0,ES,Barcelona,1995-09-22,30.0,right,backhand,192.0
160,Ignacio Sager,men,M,56.0,1145.0,ES,Malabrigo,1997-08-28,28.0,right,backhand,198.0
161,Juan Cruz Belluati,men,M,70.0,975.0,AR,Buenos Aires,1993-10-20,32.0,left,drive,176.0
162,Mario Huete,men,M,73.0,962.0,ES,Madrid,1993-12-16,32.0,right,backhand,183.0
163,Enrique Goenaga,men,M,61.0,1060.0,ES,Palma de Mallorca,2002-01-22,24.0,right,drive,180.0
164,Teodoro Zapata,men,M,80.0,911.0,ES,Mérida,1995-04-10,30.0,right,backhand,178.0
165,Miguel Deus,men,M,48.0,1367.0,PT,Lisboa,1993-04-06,32.0,right,drive,180.0
166,Nuno Deus,men,M,48.0,1367.0,PT,Lisboa,1995-05-07,30.0,right,backhand,184.0
167,Henrique Barbosa,men,M,229.0,212.0,PT,Aveiro,2000-09-09,25.0,,drive,174.0
168,Alejandro Caton Calvo,men,M,421.0,74.0,ES,Valladolid,2003-12-30,22.0,,backhand,178.0
169,Alberto Garcia Trabanco,men,M,141.0,394.0,ES,Gijón,2005-09-26,20.0,,drive,186.0
170,Pablo Marqués Gonzalez,men,M,814.0,22.0,ES,,1991-11-13,34.0,,,
171,Miguel Melero Bernal,men,M,136.0,401.0,ES,Madrid,1999-03-03,26.0,,drive,178.0
172,Karlos Rodriguez Vidal,men,M,219.0,224.0,ES,Málaga,1995-02-16,30.0,,drive,173.0
173,Menno Nolten,men,M,175.0,315.0,NL,Oudkarspel,2000-11-14,25.0,,backhand,195.0
174,Thomas Vanbauce,men,M,273.0,148.0,FR,Maubeuge,1996-12-08,29.0,,backhand,187.0
175,Simon Wagner,men,M,540.0,48.0,FR,,2003-08-02,22.0,,,
176,Pablo Pastor Landaburu,men,M,288.0,137.0,ES,Granada,1999-11-14,26.0,,drive,192.0
177,Samuel Rivas Garcia,men,M,215.0,230.0,ES,Salamanca,2008-11-16,17.0,,drive,175.0
178,Matteo Platania,men,M,305.0,124.0,IT,Agrigento,2006-12-08,19.0,,backhand,
179,Matteo Sargolini,men,M,245.0,188.0,IT,Civitavecchia,2007-11-22,18.0,,backhand,
180,Mariano Agustin Gonzalez San Martin,men,M,104.0,567.0,PY,Encarnación,2007-10-16,18.0,,backhand,187.0
181,Juan Zamora Perez,men,M,105.0,565.0,ES,Osuna,2008-06-09,17.0,,backhand,166.0
182,Alvaro Lopez Campos,men,M,384.0,86.0,ES,Gijón,2004-11-15,21.0,,,168.0
183,Marc Lupon Martinez,men,M,276.0,147.0,ES,,2006-10-04,19.0,,,
184,Julian Prins,men,M,133.0,414.0,NL,Breda,2000-02-07,26.0,,backhand,
185,Youp De Kroon,men,M,125.0,451.0,NL,Breda,2004-10-18,21.0,,drive,188.0
186,Abdulla Alhijji,men,M,430.0,69.0,QA,Doha,1990-01-25,36.0,,backhand,177.0
187,Mohammed Saadon Alkuwari,men,M,360.0,93.0,QA,Doha,1983-07-21,42.0,,backhand,182.0
188,Daniele Cattaneo,men,M,232.0,207.0,IT,Vimercate,1989-09-10,36.0,,backhand,187.0
189,Albin Olsson,men,M,143.0,384.0,SE,Eskilstuna,2002-02-26,23.0,,drive,201.0
190,Douglas Rutgersson,men,M,232.0,207.0,SE,Helsingborg,2002-03-02,23.0,,drive,188.0
191,Sergio Arias Aznar,men,M,206.0,245.0,ES,Murcia,2004-05-02,21.0,,backhand,188.0
192,Diogo Jesus,men,M,182.0,290.0,PT,Lisbon,1998-09-28,27.0,,drive,175.0
193,Simone Iacovino,men,M,115.0,489.0,IT,Roma,2002-02-11,23.0,,backhand,183.0
194,Lorenzo Di Giovanni,men,M,127.0,441.0,IT,Chieti,1987-12-25,38.0,,backhand,190.0
195,Ramiro Moyano,men,M,112.0,505.0,AR,La Plata,1989-10-25,36.0,right,backhand,185.0
196,Jose Jimenez,men,M,36.0,1591.0,ES,Granada,2004-02-21,21.0,left,drive,180.0
197,Álvaro Melendez Amaya,men,M,87.0,838.0,ES,Sevilla,2000-03-22,25.0,,drive,175.0
198,Daniel Santigosa,men,M,66.0,1000.0,ES,Madrid,2004-02-16,21.0,right,drive,180.0
199,Pablo Garcia Rodrigo,men,M,37.0,1580.0,ES,Madrid,2003-01-23,23.0,right,drive,188.0
200,Arnau Ayats,men,M,106.0,557.0,AE,Vic,2000-03-07,25.0,right,backhand,185.0
201,Javier Valdes,men,M,84.0,853.0,CL,Santiago de Chile,1996-06-27,29.0,right,drive,175.0
202,Emilio Sanchez,men,M,77.0,940.0,ES,Madrid,2003-03-27,22.0,right,backhand,185.0
203,Toni Bueno,men,M,206.0,245.0,ES,Barcelona,1990-08-23,35.0,right,drive,178.0
204,Rafael Mendez,men,M,110.0,521.0,ES,Jerez de la Frontera,1992-01-22,34.0,right,backhand,197.0
205,Mario Ortega,men,M,75.0,947.0,ES,Massamagrell,2002-11-11,23.0,right,drive,175.0
206,Carlos Marti,men,M,249.0,184.0,ES,Bocairent,1996-02-29,29.0,right,backhand,185.0
207,Thomas Leygue,men,M,165.0,329.0,FR,Aix-en-provence,2001-12-04,24.0,right,drive,188.0
208,Maxime Deloyer,men,M,814.0,22.0,BE,,2003-08-20,22.0,right,backhand,176.0
209,Isaac Huysveld,men,M,236.0,203.0,BE,Veurne,2006-02-14,19.0,right,backhand,
210,Guillermo Collado,men,M,41.0,1463.0,ES,Madrid,2005-05-05,20.0,right,backhand,180.0
211,Salvador Oria,men,M,90.0,807.0,ES,Valencia,1996-10-01,29.0,right,drive,180.0
212,Martin Abud,men,M,142.0,387.0,PY,,2003-01-31,23.0,,,
227,Pablo Lijó,men,M,46.0,1390.0,ES,Sta. Uxía de Ribeira,1991-07-06,34.0,,backhand,185.0
228,Alvaro Montiel Caruso,men,M,83.0,878.0,IT,Barcelona,2005-02-04,21.0,right,backhand,180.0
229,Leonardo Yob,men,M,234.0,204.0,AR,San Francisco,2002-05-30,23.0,,drive,190.0
232,Marco Cassetta,men,M,74.0,953.0,IT,Torino,1999-05-27,26.0,right,backhand,182.0
233,Jose Luis Gonzalez,men,M,60.0,1078.0,ES,Sevilla,1997-12-14,28.0,left,drive,180.0
234,Álvaro Mélendez Amaya,men,M,87.0,838.0,ES,Sevilla,2000-03-22,25.0,,drive,175.0
235,Daniel Windahl,men,M,187.0,279.0,SE,Helsingborg,1996-07-20,29.0,right,backhand,190.0
236,Jose Solano Marmolejo,men,M,202.0,254.0,ES,Málaga,2000-06-02,25.0,right,drive,170.0
237,Miguel Semmler,men,M,,,ES,,,,right,,
238,Raul Marcos,men,M,465.0,62.0,ES,Madrid,1992-06-28,33.0,left,drive,182.0
239,Jose David Sanchez,men,M,307.0,122.0,ES,Murcia,1994-12-03,31.0,,backhand,178.0
240,Pablo Lima,men,M,2732.0,,BR,Porto Alegre,1986-10-11,39.0,right,drive,180.0
242,Fernando Belasteguin,men,M,2732.0,,AR,Pehuajo,1979-05-19,46.0,right,backhand,180.0
244,Jorge Ruiz,men,M,814.0,22.0,ES,Torrelavega,1992-12-12,33.0,right,backhand,174.0
245,Martin Sanchez Piñeiro,men,M,2732.0,,ES,A Coruña,1992-10-26,33.0,,backhand,184.0
246,Antonio Luque,men,M,168.0,324.0,ES,Jaen,1987-09-09,38.0,right,backhand,184.0
247,Cristian German Gutierrez,men,M,208.0,243.0,AR,San Luis,1990-12-15,35.0,right,drive,170.0
248,Juan Martin Diaz Martinez,men,M,2732.0,,ES,Mar del Plata,1975-11-28,50.0,,drive,184.0
249,Agustin Gomez Silingo,men,M,2732.0,,AR,La Plata,1983-08-01,42.0,,backhand,186.0
250,Pedro Melendez Amaya,men,M,113.0,498.0,ES,Sevilla,1997-06-19,28.0,right,drive,179.0
251,Diego Gil,men,M,122.0,455.0,ES,Las Palmas,1998-03-27,27.0,right,drive,187.0
252,Maxi Sanchez Blasco,men,M,43.0,1449.0,AR,Deaireaux,2002-09-06,23.0,right,backhand,186.0
253,Santiago Rolla,men,M,246.0,187.0,AR,Junin,2001-06-13,24.0,,drive,176.0
254,Ferran Insa Sotillo,men,M,101.0,586.0,ES,Granollers,1994-07-21,31.0,,backhand,179.0
255,Juan Ignacio De Pascual,men,M,103.0,571.0,AR,Pergamino,2004-12-09,21.0,left,drive,186.0
256,Facundo Rodrigo Luis Lopez,men,M,158.0,352.0,AR,Misiones,2004-03-24,21.0,,backhand,190.0
257,Ruben Rivera,men,M,2732.0,,ES,Barcelona,1990-07-29,35.0,,backhand,182.0
258,Adria Mercadal,men,M,814.0,22.0,ES,Barcelona,1990-11-19,35.0,right,drive,173.0
259,Sergio Alba,men,M,320.0,115.0,ES,Guadalajara,1990-05-26,35.0,right,backhand,178.0
260,Mauricio A Rivero,men,M,531.0,49.0,AR,La Plata,2001-12-06,24.0,,drive,175.0
261,Francisco Britos,men,M,445.0,65.0,AR,Chivilcoy,2001-12-27,24.0,,backhand,174.0
262,Relis Ferreyra,men,M,518.0,51.0,AR,Chaco,1999-05-07,26.0,,drive,174.0
263,Juan Manuel Restivo,men,M,2732.0,,IT,La Plata,1988-06-11,37.0,,backhand,180.0
264,Sergio Icardo,men,M,180.0,301.0,ES,Valencia,1989-10-04,36.0,,drive,178.0
265,Benjamin Tison,men,M,311.0,120.0,FR,,1989-02-02,37.0,left,,
266,Aitor Garcia,men,M,436.0,68.0,ES,Gerona,1994-09-10,31.0,,backhand,181.0
267,Victor Mena,men,M,152.0,370.0,ES,Madrid,1999-06-24,26.0,right,backhand,194.0
269,Marcos Cordoba,men,M,148.0,375.0,ES,Tenerife,2004-12-21,21.0,right,drive,184.0
270,Miguel Gonzalez,men,M,148.0,375.0,ES,Melilla,1997-05-21,28.0,,backhand,184.0
271,Roberto Rodriguez Alonso,men,M,842.0,21.0,ES,Caracas,1985-11-25,40.0,,drive,172.0
272,Eduardo Andres Lopez Figuera,men,M,2732.0,,VE,,1996-02-09,29.0,,,
273,Francisco Miguel Ramirez Navas,men,M,,,ES,,,,,,
274,Andres Devletian,men,M,2890.0,,VE,,1992-03-06,33.0,,,
275,Diego Gonzalez Almedo,men,M,2890.0,,VE,,2001-07-02,24.0,,,
276,Bram Coene,men,M,874.0,20.0,BE,,1992-12-13,33.0,right,,185.0
277,Joris De Weerdt,men,M,1028.0,14.0,BE,Kontich,1987-07-05,38.0,left,drive,
278,Dylan Demian Cuello,men,M,221.0,223.0,AR,El Trebol Santa fe,2000-12-11,25.0,,backhand,187.0
279,Federico Chiostri,men,M,176.0,308.0,AR,San Nicolas de los Arroyos,1999-02-22,26.0,right,drive,166.0
280,Bastien Blanque,men,M,127.0,441.0,FR,Toulouse,1995-05-10,30.0,,backhand,180.0
281,Dylan Guichard,men,M,130.0,428.0,FR,Rennes,2000-06-05,25.0,,drive,
282,Adrian Marques Berdonce,men,M,106.0,557.0,ES,Palma de Mallorca,2002-06-20,23.0,right,drive,175.0
283,Riccardo Sinicropi,men,M,294.0,134.0,IT,Genova,1990-09-12,35.0,,drive,178.0
284,Flavio Abbate,men,M,76.0,943.0,IT,Siracusa,2004-07-31,21.0,,drive,184.0
