player_name,country,points,position,move,gender
Gaston Lazzarini,ARG,135,288,1,M
Kai Groen,NED,135,288,1,M
Cristobal Garcia Blanco,ESP,134,290,1,M
Joaquim Florensa Hernandez,ESP,134,290,1,M
Riccardo Sinicropi,ITA,134,290,1,M
Miguel Martin Cano,ESP,133,293,2,M
Ivo Andenmatten Gudiño,ARG,133,293,2,M
Rodrigo Manrique Nuño,ESP,131,295,2,M
Eneko Arija Ochoa De Alda,ESP,131,295,2,M
Max Bjorkman,SWE,130,297,-15,M
Juan Ignacio Franco,ARG,129,298,2,M
Jose Pedro Montalban Martin,ESP,126,299,2,M
Adrian Molina Lopez,ESP,126,299,2,M
Aleix Pozo Rius,ESP,125,301,-2,M
Matteo Platania,ITA,124,302,1,M
Pablo Pastor Landaburu,ESP,123,303,-12,M
Matias Emiliano Gutierrez C.,ARG,122,304,0,M
Jose David Sanchez,ESP,122,304,0,M
Ferran Gonzalez Zamorano,ESP,121,306,0,M
Jose Manuel Ortiz Llerena,ESP,120,307,0,M
Juan Ignacio Balzola Galvani,ARG,119,308,0,M
Miguel Muñoz Zurita,ESP,118,309,0,M
Abraham Muñoz Zurita,ESP,117,310,0,M
Nicolas Cordoba,ARG,117,310,0,M
Aaron Garcia Rubio,ESP,117,310,0,M
Juan Manuel Lasgoity,ITA,116,313,0,M
Alejandro Prados,ESP,116,313,0,M
Antonio Graupera,ARG,116,313,0,M
Sergio Alba,ESP,115,316,0,M
Sergi Nogueras Lorenz,ESP,115,316,0,M
Arnau Carbonell Ortells,ESP,114,318,0,M
Enzo Vista,ITA,114,318,0,M
Daniel Martinez Otero,ESP,113,320,0,M
Marco Antonio Quereda Moreno,ESP,112,321,0,M
Bernardo Tavares,POR,111,322,0,M
Mashari Nawaf,QAT,111,322,0,M
Nicolas Van Betuw,NED,111,322,0,M
Matias Soto,CHI,110,325,1,M
Mats Groen,NED,109,326,-4,M
Jorrit Notenboom,NED,108,327,1,M
Manuel Vives,FRA,108,327,1,M
Vasileios Sioulis,GRE,108,327,1,M
Ali Dawani,BRN,107,330,1,M
Nathan Courrin,FRA,107,330,-3,M
Ruben Fernandez Sansano,ESP,106,332,3,M
Benjamin Tison,FRA,106,332,3,M
Sergio Esteban Barroso,ESP,104,334,-3,M
Alejandro Guinaldo Martin,ESP,103,335,2,M
Alexander Loughlan,GBR,103,335,2,M
Plinio Ferrao,POR,103,335,2,M
Henrique Orge,POR,102,338,2,M
Salvador Ferreira Nunes Foios Simões,POR,102,338,2,M
Alejandro Blanco Sollet,ESP,101,340,2,M
David Esteban Esposito,ESP,101,340,7,M
Emiliano Martin Iriart,ITA,100,342,1,M
Mauro Agustin Salandro,ITA,100,342,1,M
Santiago Sebastian Strazzabopo Nieves,ARG,99,344,1,M
Michele Brambilla,ITA,99,344,1,M
Daniel Blanco Dopazo,ESP,98,346,1,M
Louie Harris,GBR,97,347,2,M
Juan Pablo Castillo,MEX,97,347,2,M
Fabricio Ivan Peiron,ARG,97,347,2,M
Marco Remolina Pablo,ESP,96,350,3,M
Gonzalo Perez Arbona,ESP,96,350,3,M
Tygho Schoonus,NED,95,352,1,M
Matias Emmanuel Del Moral,ARG,95,352,5,M
Leon David Ruiz Shannon,ESP,95,352,1,M
Rashed Nawaf,QAT,95,352,5,M
Alvaro Martinez Espi,ESP,94,356,3,M
Francisco Gomes,BRA,94,356,3,M
Juan Figueroa Ayala,ESP,94,356,3,M
Mohammed Saadon Alkuwari,QAT,93,359,3,M
Adrian Baamonde,ESP,92,360,3,M
Josep Aymerich Bellmunt,ESP,92,360,-11,M
Nicolò Turchetti,ITA,92,360,3,M
Daniele Catini,ITA,92,360,3,M
Gonzalo Vera,ARG,91,364,2,M
Joaquin Mazzeo Rubi,ARG,91,364,2,M
Cameron Dollimore,GBR,90,366,26,M
Tiago Valério,POR,90,366,2,M
Lorenzo Chionna,ITA,90,366,2,M
Patricio Belluati,ESP,89,369,1,M
Javier Del Cacho Cidoncha,ESP,88,370,1,M
Bruno Ferreira Pedrosa,POR,88,370,1,M
Jan Masferrer,ESP,88,370,1,M
Cristobal Molina,CHI,87,373,1,M
Daniel Llorente Ruiz,ESP,87,373,1,M
Pablo Acevedo Iturribarria,MEX,87,373,1,M
Pablo Francisco Amora Hernandez,MEX,87,373,1,M
Daniel Luna Peinado,ESP,87,373,1,M
Lucas Mañero Cervo Baeza,ESP,86,378,1,M
Harold Bernard,FRA,86,378,1,M
Guillermo Vera Cebollero,ESP,85,380,-1,M
Pol Alsina,ESP,85,380,-49,M
Thijs De Kroon,NED,85,380,4,M
Max Sjovall,FIN,85,380,-49,M
Kwan Lam Vincent Chau,HKG,84,384,-5,M
Thomas Seux,FRA,84,384,-5,M
Fabricio Parra Heck,ARG,84,384,2,M
Alvaro Lopez Campos,ESP,83,387,-1,M
Matteo Rosingana,ITA,83,387,1,M
Teo Gamondi,ARG,83,387,1,M
Facundo Erguy,ARG,83,387,1,M
Ricardo Martins,POR,83,387,1,M
Alejandro Garcia Calahorro,ESP,82,392,0,M
Roman Wink,NED,81,393,1,M
Bentahor Espino Mustafa,ESP,81,393,1,M
Javier Garcia Caro,ESP,80,395,-1,M
Jorge Correa Cordoba,ESP,80,395,2,M
Merlijn De Krom,NED,79,397,0,M
Francesco Spurio,ITA,78,398,1,M
Giorgio Saputo,ITA,78,398,1,M
Filippo Rudelli,ITA,77,400,1,M
Singgih Ario Suselo,INA,77,400,14,M
Martin Araujo De Lizarza,URU,77,400,1,M
Samuel Jones,GBR,77,400,1,M
Gabriel Perez Carral,ESP,76,404,0,M
Luis Soares Da Veiga,POR,76,404,0,M
Kazuki Tomita,JPN,76,404,14,M
Stefano Indomenico,ITA,76,404,0,M
Jose Angel Montoya,MEX,76,404,0,M
Lorenzo Minighini,ITA,76,404,0,M
Leonid Poliakov,RUS,75,410,-1,M
Andres Graupera,ARG,75,410,-1,M
Clement Pelt,LUX,75,410,-1,M
Antonis Asimakopoulos,GRE,75,410,-1,M
Nicholas Agritelley,USA,75,410,-1,M
Alejandro Caton Calvo,ESP,74,415,-1,M
Imran Danill Van Dijk,NED,74,415,-1,M
Rayane Akram Hamou,ALG,74,415,-1,M
Matteo Maria Sperati,ITA,73,418,0,M
Zar Lasahido,INA,73,418,0,M
Gerard Gimeno Centelles,ESP,72,420,2,M
Diego Agustin Marcial,ARG,71,421,2,M
Alejandro Urzola Abad,ESP,71,421,2,M
Maciej Naduk,POL,71,421,2,M
Henrique Brazao,POR,71,421,2,M
Abdulla Alhijji,QAT,69,425,3,M
Javier Mena Moreno,ESP,69,425,3,M
Gonzalo Camara Rodriguez,ESP,69,425,3,M
Mostafa Hesham,EGY,69,425,3,M
Higor Ensslin Alves,URU,69,425,3,M
Theodore Garton,GBR,68,430,38,M
Lars Du Pree,NED,68,430,3,M
Aitor Garcia,ESP,68,430,3,M
Jeremy Robert,FRA,68,430,3,M
Mariano Cabrera,ARG,68,430,3,M
Adrien Maigret,FRA,68,430,-12,M
Kamel Mouimen,FRA,67,436,-3,M
Nicolas Aguirre Sanchez,ESP,67,436,2,M
Lorenzo Mancini,ITA,67,436,2,M
Zè Pedro Ferreira,POR,66,439,1,M
Lorenzo Bogarin,ITA,66,439,1,M
Joel Fernandez Muñoz,ESP,65,441,-1,M
Ids Hannema,NED,65,441,2,M
Alessandro Tinti,ITA,65,441,2,M
Francisco Britos,ARG,65,441,2,M
Manuel Sousa,POR,65,441,2,M
Daniel Beneyto Sanchez,ESP,64,446,1,M
Bohdan Levchuk,UKR,64,446,1,M
Pavlos-Louis Balafas,GRE,64,446,1,M
Arturo Miguel Hernando Nuñez,ESP,63,449,1,M
Edu Altimires Ros,ESP,63,449,-65,M
Manuel Valcarcel Sanchez,ESP,63,449,1,M
Daniel Salinas Ordenes,CHI,63,449,1,M
Jose Gabriel Jimenez Jimenez,ESP,63,449,1,M
Matias Negrete Oliva,CHI,63,449,1,M
Adrian Allemandi,ARG,63,449,1,M
Mauricio Suarez Gonzalez,MEX,62,456,0,M
Raul Marcos,ESP,62,456,0,M
Martin Martinez Perez,ESP,62,456,0,M
Andrea Bettineschi,ITA,61,459,0,M
Ivan Boluda Pitarch,ESP,61,459,0,M
Nicolas Peña Ruiz,ESP,61,459,0,M
Pedro Sousa Martinez,ESP,61,459,0,M
Alejandro Jimenez Juanas,ESP,61,459,0,M
David Quiros Peiro,ESP,61,459,0,M
Omar Salem,EGY,61,459,0,M
Austin Varghese,IND,61,459,0,M
Rogrigo Tornelli Contreras,ESP,60,467,1,M
Romain Sichez,FRA,60,467,1,M
Alvaro Sola Sala,ESP,60,467,1,M
Ethan Bardo,GBR,60,467,1,M
Arturo Calzada Felici,ESP,59,471,2,M
Mauricio Garcia Villalobos,MEX,59,471,2,M
Ignacio Miguel Corbo,ARG,59,471,2,M
Ricardo Martinez,ESP,59,471,2,M
Daniel Maldonado Fornieles,ESP,59,471,2,M
Alvaro Del Saz Garcia,ESP,58,476,2,M
Yeray Conejero Cotillas,ESP,58,476,2,M
Pietro Giovannini,ITA,58,476,2,M
Yanis Muesser,FRA,58,476,2,M
Nikhil Mohindra,GBR,58,476,2,M
Antonio Garcia Fernandez,ESP,57,481,2,M
Jorge Angles Ponce,ESP,57,481,2,M
Guillermo Molina garcía-Muro,ESP,57,481,2,M
Leonardo Bulgarini,ITA,57,481,2,M
Mario Yohakim Prayanto,INA,56,485,2,M
Guilherme Coelho,POR,56,485,2,M
Xavi Rodriguez Vila,ESP,56,485,2,M
Pablo Olmo Villa,ESP,56,485,2,M
Naim Horacio Diaz,ARG,55,489,2,M
Pedro Gonzalez Martin,ESP,55,489,2,M
Sergio Jimenez Amozurrutia,MEX,55,489,2,M
Kilian Jordan,SUI,55,489,2,M
Hugo Lorenzo Serrano,ESP,55,489,2,M
Gonzalo Federico Lopez,ARG,55,489,2,M
Joao Pedro Flores,BRA,54,495,4,M
Ivo Agustin Nuñez,ARG,54,495,4,M
Gabriel Bili?ski,POL,54,495,4,M
Adrian Maria Miranda,PAR,54,495,4,M
Rayan Abdulla Aljufairi,QAT,54,495,4,M
Lucas Pillon,FRA,53,500,4,M
Manuel Ramirez Perez,ESP,53,500,-9,M
Thomas Basso,FRA,53,500,4,M
Leonardo Abbate,ITA,53,500,4,M
Juan Manuel Romanazzi,ARG,53,500,4,M
Alonso Villavicencio Mancilla,CHI,52,505,3,M
Izan Marin,ESP,52,505,3,M
Julien Biron,FRA,52,505,3,M
Jerzy Janowicz,POL,52,505,3,M
Jose Alberto Funes Ontivero,ARG,52,505,3,M
Chun Ho Chow,HKG,51,510,3,M
Fabian Oviedo Berazategui,ARG,51,510,3,M
Olivier Guy De Chamisso,FRA,51,510,3,M
Matias Segura,USA,51,510,3,M
Nathan Lambrechts,BEL,51,510,3,M
Mohammad Tuwainah,KUW,51,510,3,M
Mohammed Al Khanji,QAT,51,510,3,M
Jaime Lobo Wordsworth,GBR,51,510,3,M
Relis Ferreyra,ARG,51,510,3,M
Peter Potasch,SVK,51,510,3,M
Giulio Lovascio,ITA,50,520,3,M
Maximiliano Montaño,MEX,50,520,3,M
Luca Santino Cortese,ARG,50,520,3,M
Maxime Forcin,FRA,50,520,-61,M
Ruben Cuevas Tornero,ESP,50,520,3,M
Jort Nolten,NED,50,520,3,M
Lucas Orduña Dejoz,ESP,49,526,4,M
Mauricio A Rivero,ARG,49,526,4,M
Michal Skonieczny,POL,49,526,4,M
Francisco Coirini,ARG,49,526,4,M
Iago Gonzalez Niño,ESP,49,526,4,M
Karol Krawczy?ski,POL,49,526,4,M
Giulio Lucchetti,ITA,49,526,4,M
Pedro Navas Platero,ESP,49,526,4,M
Jake Bewley,GBR,48,534,4,M
Lucas Danuzzo,ARG,48,534,4,M
Joaquin Terceros,ARG,48,534,4,M
Javier Mesa Arenas,ESP,48,534,-11,M
Alan Gabriel Ibarrola,ARG,48,534,4,M
Skirmantas Macinskas,LTU,48,534,4,M
Simon Wagner,FRA,48,534,-11,M
Carlos Mateo Gallego,ESP,48,534,4,M
Nojus Poska,LTU,48,534,4,M
Fares Al Janahi,UAE,48,534,4,M
Michal Bartusek,POL,48,534,4,M
Andres Calzada Felici,ESP,47,545,2,M
Moritz Eiersebner,AUT,47,545,2,M
Majed Al Janahi,UAE,46,547,2,M
Angel Torres,CHI,46,547,2,M
Shungo Kusakabe,JPN,46,547,2,M
Axel Waris,FIN,46,547,2,M
Amr Mohammed Hassan,QAT,45,551,2,M
Vicente Andrades Caro,CHI,45,551,2,M
Pedro Carlos Garcia-Consuegra gutierrez,ESP,45,551,2,M
Pablo Nicolas Egea,ARG,45,551,2,M
Pedro Alonso,ESP,45,551,2,M
Ulises Martinez Avila,MEX,45,551,2,M
Alejandro Zaragoza Madrid,ESP,44,557,2,M
Juan Pablo Andrada,ARG,44,557,2,M
Victor Forsberg,SWE,44,557,-66,M
Maneea Allah Almaqaleh,QAT,43,560,1,M
Martim Gomes,POR,43,560,1,M
Bruno Zem Nunes,BRA,43,560,1,M
Ricardo Gomez martinez-Campos,ESP,43,560,1,M
Alberto Micali,ITA,43,560,1,M
Joaquin Bastos Veltri,ARG,43,560,1,M
Raul Rosas,MEX,43,560,1,M
Filippo Nicocia,ARG,43,560,1,M
Gabriele Karol Maria Stracquadaini,ITA,43,560,1,M
Francesco Berta,ITA,43,560,1,M
Juan Carlos Gutierrez Guerrero,ESP,42,570,1,M
Timothy Brown,AUS,42,570,1,M
Martim Solano,POR,42,570,1,M
Gerardo Irarrazabal Alvarez,CHI,41,573,2,M
Tomas Luco,ARG,41,573,2,M
Rafael Marquet,FRA,41,573,-2,M
Hassan Adel Waly,QAT,41,573,2,M
Aziz Khan,PAK,40,577,1,M
Jorge Jimenez,MEX,40,577,1,M
Martin Araguete Sales,ESP,40,577,1,M
Lautaro Rodrigo Guevara,ARG,40,577,1,M
Guillermo Lahoz Rodriguez,ESP,40,577,1,M
Hayato Nakayashiki,JPN,40,577,1,M
Aram Kocharyan,ARM,40,577,1,M
Vasco Mensurado,POR,40,577,1,M
Moises Rafael Rivero,MEX,40,577,1,M
Daniele De Paolis,ITA,40,577,1,M
Himar Acosta Suárez,ESP,40,577,1,M
Matias Jimenez Colombres,CHI,40,577,1,M
Guillermo Espinoza Concha,CHI,40,577,1,M
Nikander Damianos,NED,40,577,1,M
Jose Maria Alvarez Torres,MEX,40,577,1,M
Sean Zachary Lo Escoto,HKG,40,577,1,M
